Time,IE,IT,US,TW,KR
09.08.2021,303.1026962,227.645781,417.68,482.42,441.42
10.08.2021,381.4870837,236.7041828,416.99,478.81,441.88
11.08.2021,247.6329909,246.6909767,417.88,474.07,440.31
12.08.2021,117.4440822,251.4382588,417.28,465.77,443.15
13.08.2021,175.5590865,261.7419084,436.5,471.08,439.94
14.08.2021,314.9343143,245.9682711,436.36,473.6,418.37
15.08.2021,233.5772232,237.7243371,421.18,478.03,413.09
16.08.2021,190.9136882,225.9087487,421.1,467.28,429.98
17.08.2021,206.440312,217.9004269,420.08,471.93,438.03
18.08.2021,357.4478105,221.2978054,412.57,483.48,435.67
19.08.2021,398.0267145,235.149375,411.9,479.12,434.61
20.08.2021,298.5510541,240.5714894,401.97,479.02,430.31
21.08.2021,367.2756893,224.9767913,404.83,479.87,409.9
22.08.2021,460.0055756,231.6932921,399.48,474.83,404.14
23.08.2021,462.9325369,244.666215,410.77,472.14,428.29
24.08.2021,410.6856298,267.7120176,411.9,480.78,430.59
25.08.2021,425.6879457,266.619014,426.75,483.29,428.87
26.08.2021,464.305679,265.7365757,424.71,481.02,429.45
27.08.2021,458.2433283,233.5413635,424.31,478.84,424.91
28.08.2021,469.6690415,223.6086979,415.04,480.44,405.22
29.08.2021,437.6816258,205.4441833,421.33,486.49,402.94
30.08.2021,415.5960483,261.3299274,443.43,494.73,426.82
31.08.2021,403.7493916,270.7737142,443.43,486.78,424.3
01.09.2021,408.9171826,263.5285552,407.1,486.27,426.47
02.09.2021,426.746463,251.7509819,393.4,486.65,423.58
03.09.2021,459.806222,279.0826984,399.11,487.87,417.45
04.09.2021,429.9117379,265.51192,404.13,496.28,402.02
05.09.2021,372.328542,233.146402,404.13,494.19,397.02
06.09.2021,451.1854533,267.7657903,399.52,485.14,422.52
07.09.2021,390.0121837,280.8581254,383.45,479.25,425.1
08.09.2021,387.0929299,289.3821679,399.05,479.38,421.93
09.09.2021,473.4178841,294.579199,411.58,475.61,422.83
10.09.2021,392.0688997,302.0109435,391.28,469.68,423.09
11.09.2021,397.1956384,275.7877362,371.2,479.27,413.75
12.09.2021,394.9773366,248.4090237,381.75,489.3,410.43
13.09.2021,367.3801417,285.6539888,396.69,486.22,434.86
14.09.2021,449.9227235,294.7619162,414.84,479.24,433.77
15.09.2021,468.2866531,300.2329087,414.84,481.55,431.34
16.09.2021,309.6718335,314.9736283,402.05,482.62,432.73
17.09.2021,387.2699183,297.5154794,400.35,482.55,423.42
18.09.2021,416.2738927,280.5880064,409.21,480.57,405.42
19.09.2021,363.2899498,265.7019183,381.57,481.34,394.58
20.09.2021,436.0225397,276.6799421,376.04,481.86,388.38
21.09.2021,390.6372781,309.427788,386.54,487.94,383.91
22.09.2021,238.4131941,298.9723404,396.17,477.25,393.66
23.09.2021,275.0323803,297.7944069,372.06,478.01,417.02
24.09.2021,271.8065569,311.590112,359.98,479.09,419.2
25.09.2021,344.4192031,306.2819242,371.96,483.44,407.02
26.09.2021,242.1469616,303.6330315,345.85,478.32,404.4
27.09.2021,243.5711936,313.1893336,363.13,480.58,425.7
28.09.2021,278.29929,299.8590946,379.1,485.68,425.45
29.09.2021,251.2869789,307.0032881,371.87,485.78,424.28
30.09.2021,162.7068435,299.0162782,389.49,471.9,421.16
01.10.2021,167.0985186,300.564942,417.7,455.71,416.74
02.10.2021,253.9655977,285.4456682,402.63,450.83,397.51
03.10.2021,159.4973366,271.7351543,402.12,449.62,401.88
04.10.2021,333.6684806,275.3553471,417.01,456.52,423.08
05.10.2021,260.8447331,261.7340824,408.18,457.41,430.25
06.10.2021,285.0578276,252.2831801,400.5,449.38,426.31
07.10.2021,203.4721562,260.9224514,394.45,443.13,423.67
08.10.2021,215.7784319,269.5016685,394.45,441.32,418.04
09.10.2021,355.0744571,224.4555483,394.45,438.67,398.18
10.10.2021,397.0489704,222.2787808,341.44,436.59,389.7
11.10.2021,428.9794948,257.4608059,374.25,435.63,401.33
12.10.2021,421.9592859,270.2784383,359.45,433.64,411.02
13.10.2021,405.1172204,272.397465,361.57,434.69,410.51
14.10.2021,329.9931504,233.3102475,375.43,455.49,409.38
15.10.2021,423.9073861,238.2448203,367.98,446.49,408.2
16.10.2021,255.0706704,263.5768394,362.89,442.26,391.19
17.10.2021,281.4209479,276.3338753,361.05,444.63,381.5
18.10.2021,226.5051805,291.854867,338.31,445.35,404.51
19.10.2021,198.072696,303.7288788,326.92,442.98,409.98
20.10.2021,309.2879537,296.1307899,345.86,446.02,412.76
21.10.2021,267.9706572,272.3131311,365.67,443.58,414.82
22.10.2021,294.2066727,288.7126942,382.61,445.04,408.74
23.10.2021,110.3680435,283.681644,351.73,439.9,390.47
24.10.2021,167.033663,230.5103138,335.47,435.33,388.03
25.10.2021,255.118822,293.8020477,362.19,435.98,414.34
26.10.2021,130.5169234,315.8898805,334.07,439.23,418.71
27.10.2021,194.5078444,304.4126788,333.32,434.02,411.81
28.10.2021,360.7013433,313.1058041,334.8,433.99,406.9
29.10.2021,339.8727676,305.3030222,338.46,440.71,402.52
30.10.2021,257.646455,313.252221,362.95,450.58,396.2
31.10.2021,133.9437777,316.7111933,332.47,447.86,391.97
01.11.2021,255.0890252,290.7018608,368.01,447.49,409.32
02.11.2021,344.1209494,256.7845784,385.95,450.9,412.61
03.11.2021,228.0691494,281.9796668,397.4,457.02,411.01
04.11.2021,299.8047797,284.1440749,394,460.01,409.54
05.11.2021,376.278968,312.5966854,357.89,457.9,406.29
06.11.2021,151.0763134,291.532332,351.22,459.77,389.79
07.11.2021,331.7993334,292.7756697,351.22,459.03,392.55
08.11.2021,242.6983911,313.5721243,333.53,455.46,420.17
09.11.2021,349.8873273,316.6827584,363.81,453.28,421.94
10.11.2021,437.7554309,308.3031936,334.16,456.13,422.31
11.11.2021,231.2358408,325.2735728,328.37,453.52,425.95
12.11.2021,145.5903131,330.4727406,318.83,461.86,419.99
13.11.2021,344.9343222,329.2184585,344.57,461.19,402.76
14.11.2021,356.0607046,319.0729069,335.98,457.59,399.75
15.11.2021,421.2129315,312.9626403,359.83,461.25,419.86
16.11.2021,285.214712,301.0566447,328.93,460.89,420.58
17.11.2021,289.3285145,322.9489493,312.04,462.07,420.66
18.11.2021,264.5789694,325.0067072,330.73,460.61,420.29
19.11.2021,354.0022907,303.2064368,334.41,457.25,417.92
20.11.2021,325.4470372,314.8292991,345.2,460.82,404.91
21.11.2021,286.9657458,318.5637341,341.25,459.29,403.76
22.11.2021,414.1214569,325.7311546,365.85,446.07,422.98
23.11.2021,446.7243677,317.7771461,350.13,452.19,422.85
24.11.2021,316.1102027,311.7974085,350.13,453.43,417.77
25.11.2021,254.585499,317.3705846,350.13,457.97,413.95
26.11.2021,114.5237829,287.6251069,337.07,443.42,408.69
27.11.2021,186.3946835,277.3854249,337.82,454.49,394.16
28.11.2021,328.988234,260.0533501,350.52,470.16,390.33
29.11.2021,319.979832,279.1684955,351.38,454.51,408.43
30.11.2021,174.4847686,281.877597,355.06,442.46,412.92
01.12.2021,151.4699103,279.2000915,353.63,445.42,414.73
02.12.2021,283.943769,279.3338932,342.9,446.38,413.48
03.12.2021,302.4610233,299.6361624,337.37,450.38,408.87
04.12.2021,131.6642104,271.0497384,345.32,453.51,393.57
05.12.2021,275.2790841,263.989642,316.86,455.37,389.43
06.12.2021,214.6712771,289.1992438,322.8,450.2,408.5
07.12.2021,201.2330709,270.7557552,363.81,442.68,406.41
08.12.2021,153.5894721,287.1176067,374.14,450.83,405.56
09.12.2021,249.8491611,285.6399235,338.36,458.41,405.42
10.12.2021,261.4011526,285.4932864,325.21,448.01,402.85
11.12.2021,257.2394005,272.8081599,309.98,438.35,383.81
12.12.2021,216.0575669,263.0188217,301,436.25,388.33
13.12.2021,412.4467247,283.7271987,334.27,443.74,412.01
14.12.2021,265.3773559,290.4681015,329.42,446.73,410.44
15.12.2021,285.7970741,305.5714901,299.68,450.62,408.2
16.12.2021,358.9892124,308.8314362,319.23,446.27,411.51
17.12.2021,297.669104,303.8952386,339.78,440.45,408.77
18.12.2021,308.6701021,278.9147295,332.01,440.68,394.36
19.12.2021,337.535036,303.6834632,347.22,441.09,391.06
20.12.2021,284.6831405,306.8662269,346.48,448.19,407.17
